Recurso,Formato,Link,Por qué te lo elegí,Tema,Cuándo lo usás
Writing effective tools for AI agents,Artículo (~15 min),https://www.anthropic.com/engineering/writing-tools-for-agents,"Vos ya escribís skills y tocás MCP. Este post dice por qué menos herramientas y mejor descriptas rinden más que un catálogo grande, y da el criterio para decidir qué exponer. Aplicalo a tus propias skills y al scrapper que trajiste.",IA y agentes,"Esta semana, releyendo tus skills existentes"
Effective context engineering for AI agents,Artículo (~20 min),https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,"Tu preferencia explícita es gastar pocos tokens. Esto es exactamente eso, pero como disciplina de diseño: qué va al contexto por adelantado y qué se busca just-in-time. Es el mismo principio que aplicás al aprender.",IA y agentes,Antes de armar tu próxima skill o CLAUDE.md
How Claude Code is used in practice,Informe (~25 min),https://www.anthropic.com/research/claude-code-expertise,"Datos de uso real, no opinión. Sirve para calibrar si lo que hacés con agentes es lo que hace la gente que le saca provecho, o si estás reinventando algo peor. Barato de leer, caro de ignorar.",IA y agentes,Un hueco entre reuniones
Hamel Husain — Evals sin dataset etiquetado,Blog / creador,https://hamel.dev/blog/posts/evals/,El problema que vas a tener apenas tus skills crezcan: cómo saber si un cambio mejoró algo. Hamel enseña a evaluar sin montar infraestructura. No es una voz popular: es la de alguien que cobra por arreglar esto.,IA y agentes,Cuando una skill tuya empiece a fallar raro
Jason Liu (jxnl) — Writing,Blog / creador,https://jxnl.co/writing/,"Consultor de RAG y agentes que escribe sobre lo que falla en producción, no sobre demos. Perfil bajo comparado con el ruido del rubro, señal muy alta. Te sirve el ángulo de 'cómo se lo explico al cliente'.",IA y agentes,Audio/lectura de fin de semana
Simon Willison — Weblog,Creador (feed diario),https://simonwillison.net/,"Lo incluyo sabiendo que es conocido, porque no tiene reemplazo: prueba las herramientas el día que salen y escribe qué funcionó. Ya está en tu brief como fuente, así que no tenés que acordarte de entrar.",IA y agentes,Llega solo en el brief
Eugene Yan — Patrones de sistemas con LLM,Artículo largo,https://eugeneyan.com/writing/llm-patterns/,"Catálogo de patrones que se repiten al construir con LLMs. Es lo más parecido a un manual de arquitectura del rubro, y vos pensás en patrones porque sos dev. Leelo por partes, no de una.",IA y agentes,Cuando tengas que decidir cómo estructurar algo con IA
Latent Space,Podcast,https://www.latent.space/podcast,"Audio para entrenar. Técnico de verdad, asume que ya sabés lo básico. Es el que mejor cubre qué está entrando al stack del dev, que es tu tema 1.",IA y agentes,Entrenando
Anthropic — Prompt engineering best practices,Artículo (~20 min),https://claude.com/blog/best-practices-for-prompt-engineering,"Vos das clase: esto te sirve doble. Como práctica propia y como material para enseñar, porque está escrito con ejemplos y contraejemplos, que es como enseñás vos.",IA y agentes,Preparando una clase del curso
Focused Objective — Herramientas de forecasting,Planillas gratis + guía,https://focusedobjective.com/,"EL recurso de esta lista. Vos dijiste que lo que te falta es estimar. Esto te deja forecastear con el throughput que tu equipo YA generó, sin estimar tarea por tarea, y te devuelve un rango con probabilidad en vez de una fecha inventada. Descargás la planilla y la usás el mismo día con los datos de la tesis.",Liderar proyectos,"Este lunes, con los datos de la tesis"
Intro al forecasting Monte Carlo (notebook interactivo),Interactivo (~20 min),https://observablehq.com/@troymagennis/introduction-to-monte-carlo-forecasting,"La explicación de por qué lo de arriba funciona, con los deslizadores para tocar. Veinte minutos y entendés el método, no solo la herramienta. Sos dev: vas a entenderlo más rápido leyendo la simulación que un libro de gestión.",Liderar proyectos,"Antes de usar la planilla, para no aplicarla a ciegas"
Humanizing Work — Guía para cortar historias,Guía (~25 min),https://www.humanizingwork.com/the-humanizing-work-guide-to-splitting-user-stories/,"Tu segundo hueco declarado: descomponer de macro a micro. Esta es la guía práctica, con un árbol de decisión de patrones de corte. Es la respuesta directa a 'la tarea era más grande de lo que se veía desde afuera'.",Liderar proyectos,La próxima vez que una tarea se te infle
Charity Majors — The Engineer/Manager Pendulum,Ensayo (~15 min),https://charity.wtf/2017/05/11/the-engineer-manager-pendulum/,"Es literalmente tu situación: dev que pasó a gestionar y sigue programando, haciendo dos trabajos. Ella argumenta que eso no es un estado de transición fallido sino la mejor posición técnica que existe. Leelo por la decisión de carrera, no por la técnica.",Liderar proyectos,Hoy. Son 15 minutos y cambia cómo ves tu rol
Twin Anxieties of the Engineer/Manager Pendulum,Ensayo (~12 min),https://charity.wtf/2022/03/24/twin-anxieties-of-the-engineer-manager-pendulum/,"La secuela, y la más útil para vos: nombra las dos ansiedades exactas de estar en el medio — 'ya no soy tan bueno técnicamente' y 'no sé si sirvo para esto'. Ponerles nombre es la mitad del trabajo.",Liderar proyectos,Cuando te agarre la duda de si servís para el rol
Drunk Agile,Podcast / video (episodios cortos),https://www.youtube.com/channel/UC758reHaPAeEixmCjWIbsOA,"Vacanti y Singh discutiendo métricas de flujo en episodios de 15-20 minutos. Nada popular, formato raro, contenido durísimo sobre lo único que te va a dejar estimar: cycle time, WIP y throughput. Audio mientras entrenás.",Liderar proyectos,Entrenando
Hillel Wayne — Computer Things,Newsletter,https://buttondown.com/hillelwayne/,"Escribe sobre por qué estimar software es difícil de verdad, desde la teoría, sin vender un método. Te da las palabras para explicarle a un cliente por qué un rango es más honesto que una fecha. Ya está en tu brief.",Liderar proyectos,Llega solo en el brief
"Rands — The Update, The Vent, and The Disaster",Ensayo (~12 min),https://randsinrepose.com/archives/the-update-the-vent-and-the-disaster/,Tenés 3+ reuniones por día y varias las dirigís vos. Esto es un modelo de una sola idea para los 1:1: reconocer cuál de las tres conversaciones está pasando. Lo aplicás en la próxima reunión sin preparar nada.,Liderar proyectos,En tu próximo 1:1
Will Larson — Irrational Exuberance,Blog / creador,https://lethain.com/,"Escribe sobre el trabajo de liderar ingeniería con el nivel de detalle de un dev, no de un coach. Buscá lo suyo sobre estrategia y sobre dimensionar trabajo. Ya está en tu brief.",Liderar proyectos,Llega solo en el brief
Industrial Logic — Probabilistic Forecasting,Artículo (~15 min),https://www.industriallogic.com/blog/reckoning-with-reality-with-probabilistic-forecasting/,El caso de uso contado por gente que lo aplicó con clientes. Te sirve como guion para cuando tengas que proponerle esto al cliente de la tesis y no quede como que estás evitando comprometerte.,Liderar proyectos,Antes de la próxima conversación de fechas con el cliente
